x,y,z,position
-1.96,-3.53,-85.96,4
-0.93,-3.37,-86.5,4
-0.23,-4.08,-85.9,4
-0.73,-4.22,-85.7,4
-0.68,-4.18,-85.75,4
-2.51,-3.52,-85.67,4
-1.87,-5.17,-84.49,4
-0.53,-3.88,-86.08,4
-1.12,-4.77,-85.08,4
-1.46,-4.84,-84.93,4
-0.6,-4.39,-85.55,4
-1.34,-4.75,-85.05,4
-1.04,-3.75,-86.1,4
-0.39,-3.36,-86.61,4
-0.92,-4.09,-85.79,4
-0.86,-3.09,-86.79,4
-0.4,-4.14,-85.83,4
-1.06,-3.96,-85.9,4
-0.36,-3.09,-86.88,4
-1.95,-3.17,-86.28,4
-0.45,-3.75,-86.22,4
-0.17,-4.15,-85.83,4
-0.46,-4.34,-85.62,4
-0.25,-5.15,-84.83,4
-0.88,-4.93,-84.97,4
0.45,-3.45,-86.52,4
0.67,-5.06,-84.88,4
0.4,-3.77,-86.2,4
0.31,-4.38,-85.59,4
0.79,-4.85,-85.07,4
0.03,-3.28,-86.71,4
0.32,-3.95,-86.03,4
2.49,-3.4,-85.78,4
2.24,-7.31,-82.3,4
0.63,-4.83,-85.11,4
0.48,-1.93,-88.01,4
-0.24,-4.28,-85.7,4
-0.5,-3.99,-85.97,4
-2.64,-4.12,-85.1,4
-2.48,-4.74,-84.64,4
-3.0,-4.93,-84.22,4
-2.67,-5.37,-83.98,4
-2.82,-4.39,-84.77,4
-2.66,-5.8,-83.59,4
-2.33,-4.98,-84.49,4
-2.8,-5.2,-84.08,4
-1.55,-5.87,-83.9,4
-2.94,-5.53,-83.72,4
-1.62,-5.16,-84.57,4
-2.31,-4.96,-84.51,4
-1.52,-4.59,-85.15,4
-1.66,-4.72,-84.98,4
-1.45,-5.44,-84.34,4
-0.88,-3.57,-86.31,4
-2.64,-5.28,-84.08,4
-2.11,-3.0,-86.33,4
-0.33,-1.84,-88.13,4
-2.3,2.8,-86.37,4
-2.33,6.4,-83.15,4
-1.18,12.52,-77.11,4
-2.13,12.01,-77.54,4
-1.78,11.24,-78.4,4
-2.74,12.01,-77.42,4
-1.59,12.03,-77.59,4
-2.18,13.54,-75.9,4
-2.31,13.56,-75.86,4
-2.75,13.68,-75.65,4
-2.34,11.94,-77.58,4
-2.63,12.52,-76.91,4
-3.24,11.72,-77.6,4
-4.15,11.66,-77.4,4
-2.31,12.75,-76.73,4
-2.36,9.92,-79.66,4
-2.7,11.26,-78.21,4
-3.28,10.38,-78.95,4
-2.85,12.03,-77.38,4
-3.26,11.16,-78.17,4
-3.14,11.87,-77.47,4
-3.47,12.82,-76.41,4
-3.43,11.54,-77.73,4
-2.63,11.21,-78.27,4
-3.2,12.5,-76.81,4
-3.16,11.63,-77.72,4
-3.46,11.07,-78.2,4
-2.3,11.63,-77.9,4
-3.09,12.12,-77.23,4
-2.96,12.12,-77.26,4
-2.44,11.2,-78.33,4
-3.39,12.32,-76.95,4
-2.2,10.46,-79.14,4
-3.23,10.6,-78.74,4
-3.63,10.83,-78.4,4
-2.32,11.81,-77.71,4
-2.38,12.39,-77.09,4
-3.71,10.85,-78.35,4
-3.44,10.94,-78.34,4
-2.71,11.17,-78.3,4
-3.12,10.59,-78.78,4
-3.49,10.96,-78.31,4
-3.29,10.8,-78.53,4
-3.52,11.67,-77.57,4
-4.36,11.44,-77.54,4
-3.16,11.97,-77.37,4
-3.32,11.94,-77.36,4
-2.64,10.64,-78.86,4
-2.72,11.89,-77.55,4
-3.27,11.99,-77.32,4
-3.2,13.19,-76.08,4
-3.11,11.32,-78.05,4
-2.08,12.31,-77.22,4
-3.3,14.89,-74.24,4
-3.39,14.16,-75.01,4
-3.26,14.17,-75.03,4
-3.09,11.73,-77.63,4
-2.18,12.86,-76.62,4
-2.39,11.93,-77.58,4
-2.65,12.12,-77.33,4
-2.14,12.95,-76.54,4
-1.65,13.19,-76.35,4
-1.5,14.52,-74.92,4
-1.31,13.35,-76.21,4
-1.67,13.68,-75.82,4
-2.64,13.5,-75.87,4
-2.34,12.69,-76.78,4
-2.5,13.55,-75.84,4
-1.69,14.03,-75.44,4
-2.06,14.15,-75.26,4
-2.32,12.48,-77.0,4
-1.58,13.1,-76.46,4
-1.54,13.75,-75.75,4
-2.84,12.99,-76.37,4
-3.21,13.94,-75.28,4
-2.08,14.29,-75.1,4
-3.06,12.77,-76.56,4
-2.71,13.33,-76.03,4
-2.48,12.2,-77.27,4
-1.82,13.55,-75.93,4
-2.57,13.63,-75.74,4
-1.05,12.61,-77.03,4
-2.63,13.08,-76.31,4
-0.89,12.85,-76.78,4
-1.79,12.96,-76.58,4
-1.97,13.58,-75.89,4
-1.49,12.62,-76.98,4
-2.04,12.18,-77.37,4
-1.96,12.19,-77.38,4
-1.66,13.63,-75.87,4
-2.46,12.27,-77.2,4
-2.82,12.73,-76.65,4
-3.21,13.95,-75.27,4
-2.48,12.53,-76.93,4
-2.45,13.43,-75.97,4
-2.03,13.14,-76.35,4
-1.58,13.85,-75.64,4
-2.35,13.0,-76.45,4
-1.05,14.53,-74.94,4
-1.32,14.49,-74.97,4
-1.28,13.34,-76.23,4
-0.31,14.26,-75.27,4
-1.95,14.04,-75.39,4
-1.55,16.04,-73.22,4
-1.46,14.34,-75.12,4
-0.55,14.91,-74.55,4
-1.53,15.37,-73.98,4
-1.23,13.76,-75.78,4
-0.8,13.39,-76.21,4
-0.27,13.91,-75.66,4
-1.72,13.46,-76.05,4
-1.31,13.66,-75.88,4
-1.23,10.45,-79.3,4
2.4,15.11,-74.16,4
-0.06,13.26,-76.37,4
3.52,14.16,-74.98,4
-0.13,11.86,-77.88,4
0.78,14.44,-75.06,4
0.3,13.23,-76.4,4
1.31,24.14,-63.35,4
3.48,15.32,-73.73,4
1.89,14.92,-74.43,4
1.38,14.96,-74.44,4
4.38,15.33,-73.51,4
4.31,16.95,-71.75,4
2.67,14.35,-74.94,4
3.05,19.16,-69.45,4
2.15,16.8,-72.3,4
0.46,18.55,-70.39,4
0.92,19.36,-69.41,4
-1.87,18.35,-70.54,4
-1.94,20.5,-67.96,4
1.65,20.35,-68.16,4
1.06,19.5,-69.24,4
-0.24,17.71,-71.38,4
1.51,18.73,-70.12,4
0.82,20.76,-67.71,4
0.47,19.16,-69.66,4
0.09,19.42,-69.36,4
-0.14,21.23,-67.14,4
-2.11,19.83,-68.77,4
-0.23,21.26,-67.1,4
0.6,21.16,-67.22,4
-0.61,20.13,-68.49,4
0.45,20.1,-68.53,4
0.63,20.44,-68.11,4
-1.5,16.31,-72.93,4
0.76,13.56,-76.03,4
-1.05,8.63,-81.21,4
0.32,4.51,-85.46,4
1.66,1.57,-87.72,4
0.4,2.46,-87.51,4
2.18,2.69,-86.54,4
0.6,0.85,-88.96,4
2.75,1.1,-87.04,4
1.57,1.23,-88.0,4
0.79,-0.25,-89.17,4
1.29,-0.41,-88.64,4
1.87,-0.09,-88.13,4
3.19,-1.07,-86.64,4
3.37,-0.19,-86.62,4
2.38,-0.07,-87.61,4
2.58,0.3,-87.4,4
2.12,-0.64,-87.78,4
1.94,0.13,-88.06,4
1.33,-0.03,-88.67,4
2.65,1.28,-87.06,4
3.21,1.0,-86.63,4
2.4,-0.55,-87.54,4
2.35,0.37,-87.62,4
2.2,0.4,-87.76,4
2.0,-0.29,-87.98,4
2.46,0.15,-87.53,4
3.19,-0.52,-86.77,4
2.45,-0.89,-87.39,4
3.2,-0.08,-86.8,4
3.58,0.23,-86.41,4
4.08,-0.62,-85.88,4
3.6,-0.17,-86.39,4
3.88,-1.48,-85.85,4
3.94,-0.18,-86.06,4
4.52,0.73,-85.42,4
3.39,-0.23,-86.6,4
2.98,0.24,-87.01,4
4.18,0.35,-85.81,4
3.9,0.77,-86.03,4
2.66,-1.23,-87.07,4
1.4,-0.84,-88.37,4
1.84,0.76,-88.01,4
-0.21,0.91,-89.07,4
1.6,3.48,-86.16,4
-0.76,-2.57,-87.32,4
-1.38,0.29,-88.59,4
-3.63,-3.6,-84.88,4
